station_id,name,lat,lon,precip_mm_2025
US1OHPT0012,MOGADORE 4.7 SE,41.0085,-81.329,833.4
US1OHPT0017,KENT 1.5 W,41.1472,-81.3908,833.0
US1OHPT0023,STREETSBORO 1.8 NW,41.2599,-81.3667,1174.9
US1OHPT0024,ROOTSTOWN 0.5 NW,41.1038,-81.2505,1017.9
US1OHPT0025,KENT 4.2 SE,41.1119,-81.2978,939.5
US1OHPT0027,WINDHAM 1.4 NNW,41.2551,-81.0445,996.2
US1OHRC0007,SHELBY 0.6 NNE,40.89,-82.6558,1488.7
US1OHRC0009,MANSFIELD 5.1 WSW,40.7383,-82.6183,1192.3
US1OHRC0015,LEXINGTON 1.4 ENE,40.6859,-82.5614,982.3
US1OHRC0017,GALION 3.7 ENE,40.7468,-82.7226,1218.3
US1OHRC0018,LEXINGTON 2.3 NNW,40.7082,-82.606,1095.9
US1OHRS0017,FRANKFORT 0.7 NE,39.4152,-83.1735,1293.4
US1OHSD0002,FREMONT 2.2 ENE,41.3658,-83.0754,1038.3
US1OHSH0010,RUSSIA 1.3 NNE,40.2505,-84.4053,896.5
US1OHSH0011,HOUSTON 1.3 NNE,40.2709,-84.3247,1022.4
US1OHSH0013,FORT LORAMIE 3.2 SW,40.3153,-84.4154,919.0
US1OHSH0014,FORT LORAMIE 2.1 WNW,40.3563,-84.4076,804.0
US1OHSH0015,FORT LORAMIE 0.8 NNW,40.3569,-84.3736,870.3
US1OHSH0020,SIDNEY 5.4 SW,40.2371,-84.2408,962.7
US1OHSM0005,CUYAHOGA FALLS 1.1 ESE,41.1623,-81.5037,986.1
US1OHSM0022,FAIRLAWN 0.2 SW,41.1229,-81.6252,1022.0
US1OHSM0039,TALLMADGE 0.8 NNE,41.114,-81.4197,931.9
US1OHSN0003,TIFFIN 5.2 SE,41.0589,-83.1127,1084.7
US1OHST0011,CANTON 2.0 ENE,40.8224,-81.3374,841.3
US1OHST0012,ALLIANCE 4.8 SSW,40.8517,-81.1631,893.3
US1OHTR0004,NEWTON FALLS 0.6 N,41.1977,-80.9721,1066.9
US1OHTS0001,DOVER 4.6 WNW,40.5507,-81.564,925.0
